account,stage,amount,creationDate,closeDate,practice,offer,sector,segment,director,manager,source,competitiveness,code
account496,0,35000,15/9/16,16/11/16,practice3,offer34,sector2,segment25,director77,manager148,source2,NA,MSH
account338,0,100000,15/9/16,18/11/16,practice3,offer34,sector3,segment40,director162,manager52,source2,NA,FSR
account740,1,103053,15/9/16,1/1/17,practice4,offer44,sector2,segment25,director126,manager97,source2,NA,UME
account260,1,170389,6/6/18,27/6/18,practice4,offer44,sector1,segment14,director152,manager281,NA,NA,DEM
account255,1,6150,6/6/18,7/6/18,practice4,offer56,NA,segment38,director12,manager20,NA,NA,DIM
account251,1,37500,6/6/18,7/6/18,practice4,offer44,NA,segment19,director113,manager134,NA,NA,DHA
account258,1,25999.73,27/4/18,27/4/18,practice4,offer56,sector1,segment14,director5,manager6,NA,NA,DIT
account549,0,181000,28/3/18,28/4/18,practice4,offer44,sector1,segment6,director26,manager239,NA,NA,OMB
account251,0,300000,28/3/18,9/5/18,practice4,offer46,NA,segment19,director61,manager97,NA,NA,DHA
account54,1,8250,28/3/18,15/5/18,practice3,offer30,NA,NA,director162,manager306,source2,NA,ABA
account241,0,150000,28/3/18,25/5/18,practice4,offer43,sector2,segment20,director18,manager17,NA,NA,DED
account245,0,600000,7/6/18,3/7/18,practice4,offer56,NA,segment19,director51,manager273,source7,Competitive,HSN
account245,0,600000,7/6/18,3/7/18,practice4,offer50,NA,segment19,director51,manager273,source7,Competitive,HSN
account205,1,45200,14/4/18,30/4/18,practice4,offer44,NA,segment28,director163,manager235,NA,NA,CTS
account408,1,50000,9/5/18,11/5/18,practice4,offer44,NA,segment5,director9,manager195,NA,NA,GTE
account409,1,44000,9/5/18,23/8/18,practice4,offer44,sector1,segment5,director160,manager55,NA,NA,IPW
account496,0,100000,20/4/18,29/6/18,practice1,offer55,NA,segment25,director169,manager209,NA,NA,MSH
account621,1,188400,20/4/18,10/5/18,practice3,offer41,sector4,segment10,director162,manager136,NA,NA,RHC
account541,1,2000,10/5/18,10/5/18,practice3,offer41,NA,segment27,director158,manager165,NA,NA,NUK
account548,1,11550,22/2/18,7/3/18,practice3,offer41,NA,segment19,director41,manager78,NA,NA,DOH
account485,1,63350,5/6/18,22/6/18,practice4,offer44,sector4,segment31,director42,manager218,NA,NA,MHW
account21,1,55000,5/6/18,8/6/18,practice1,offer54,sector3,segment40,director111,manager45,NA,NA,AMI
account14,1,136000,5/6/18,19/6/18,practice3,offer58,sector6,segment18,director36,manager230,NA,NA,ALD
account367,1,205000,22/2/18,19/3/18,practice4,offer43,NA,segment25,director70,manager273,NA,NA,GRF
account548,1,18200,20/2/18,21/3/18,practice4,offer44,NA,segment19,director104,manager112,NA,NA,DOH
account730,1,75000,21/3/18,21/3/18,practice4,offer44,sector2,NA,director115,manager192,NA,NA,UAC
account234,0,80000,23/3/18,14/6/18,practice3,offer40,NA,segment20,director51,manager110,NA,NA,NDE
account231,1,226775.45,21/3/18,15/5/18,practice3,offer30,sector5,segment19,director160,manager100,NA,NA,DHG
account258,1,97000,29/3/18,20/4/18,practice1,offer54,sector1,segment14,director5,manager281,NA,NA,DIT
account3,1,2500,29/3/18,30/3/18,practice3,offer30,NA,NA,director60,manager115,source2,NA,HAC
account237,1,75960,29/3/18,5/4/18,practice1,offer44,sector2,segment20,director160,manager49,NA,NA,WDE
account496,1,46000,21/3/18,29/3/18,practice1,offer56,NA,segment25,director169,manager187,NA,NA,MSH
account579,1,8500,21/3/18,27/3/18,practice1,offer54,NA,segment19,director158,manager165,source2,NA,PCI
account774,1,7150,27/2/18,26/3/18,practice1,offer44,NA,segment28,director102,manager212,NA,NA,VLA
account335,0,218000,27/2/18,15/3/18,practice4,offer43,NA,segment28,director26,manager183,NA,NA,FED
account256,1,288000,21/2/18,7/3/18,practice3,offer57,NA,segment19,director111,manager273,source2,NA,DHP
account254,1,128425.46,27/3/18,16/4/18,practice4,offer50,NA,segment19,director131,manager97,NA,NA,DHS
account550,1,100000,27/3/18,11/5/18,practice3,offer30,NA,segment5,director79,manager161,NA,NA,PSN
account526,1,119400,6/12/17,15/6/18,practice4,offer44,sector2,segment25,director74,manager184,NA,NA,NAV
account221,1,114501,4/12/17,15/12/17,practice1,offer54,sector4,segment31,director99,manager208,NA,NA,DMA
account246,0,NA,4/12/17,24/4/18,practice1,offer44,NA,segment14,director167,manager224,NA,NA,DOF
account9,0,75000,4/12/17,6/2/18,practice4,offer43,NA,segment28,director26,manager126,NA,NA,AAT
account73,1,301200,4/12/17,1/3/18,practice3,offer42,NA,segment15,director79,manager267,NA,NA,AFP
account246,1,9082,7/12/17,19/12/17,practice4,offer44,NA,segment14,director126,manager81,NA,NA,DOF
account765,1,82500,5/12/17,28/3/18,practice3,offer42,NA,segment15,director112,manager239,NA,NA,VPL
account231,1,4050,6/12/17,7/12/17,practice4,offer44,NA,segment19,director106,manager220,NA,NA,DHG
account240,0,150000,13/12/17,22/2/18,practice1,offer11,NA,segment20,director5,manager281,NA,NA,DEW
account244,0,160000,14/12/17,28/11/18,practice3,offer58,sector2,segment17,director50,manager194,source2,NA,DSE
account234,1,7050,14/12/17,28/2/18,practice3,offer58,sector2,segment20,director141,manager237,source2,NA,NDE
account653,1,46000,11/12/17,12/12/17,practice3,offer29,NA,segment35,director143,manager165,source5,NA,CSL
account683,0,37350,11/12/17,29/5/18,practice1,offer56,sector2,NA,director74,manager273,NA,NA,STV
account450,1,45455,20/6/18,22/6/18,practice3,offer40,NA,NA,director4,manager158,NA,NA,LCM
account214,0,450000,20/6/18,27/7/18,practice1,offer11,sector6,segment4,director117,manager126,NA,Sole sourced,CRU
account240,0,100000,12/12/17,28/11/18,practice4,offer44,NA,segment20,director74,manager180,NA,NA,DEW
account274,0,45000,8/6/18,2/7/18,practice4,offer46,NA,segment45,NA,NA,NA,NA,DPW
account253,1,175700,20/6/18,22/11/18,practice3,offer30,sector4,segment19,director122,manager283,NA,NA,DHV
account280,1,163363,13/12/17,3/1/18,practice4,offer44,NA,segment14,director154,manager297,source2,NA,DTE
account231,0,80000,13/12/17,17/1/18,practice4,offer44,NA,segment19,director160,manager220,NA,NA,DHG
account589,0,150000,30/1/17,24/2/17,practice1,offer9,sector8,segment24,director51,manager192,source2,NA,POM
account56,1,60000,30/1/17,15/3/17,practice4,offer44,sector1,segment6,director5,manager11,source2,NA,ABS
account421,0,50000,29/11/17,22/2/18,practice1,offer56,NA,NA,director61,manager272,NA,NA,JJF
account544,1,193400,29/11/17,16/6/18,practice1,offer54,NA,segment20,director115,manager216,NA,NA,NES
account191,1,29900,24/11/17,20/12/17,practice1,offer42,NA,segment40,director34,manager319,NA,NA,CPS
account25,1,170000,29/11/17,17/1/18,practice1,offer56,sector5,NA,director131,manager216,NA,NA,ANS
account251,0,660000,29/11/17,22/2/18,practice4,offer44,sector4,segment19,director122,manager97,source7,NA,DHA
account257,1,148400,28/11/17,19/12/17,practice4,offer43,NA,segment19,director143,manager272,NA,NA,HSF
account774,0,80000,28/11/17,15/1/18,practice3,offer38,sector7,segment28,director102,manager212,source5,NA,VLA
account364,0,196900,28/11/17,16/2/18,practice1,offer54,NA,segment39,director115,manager203,NA,NA,GRN
account641,1,2160000,1/12/17,5/12/17,practice3,offer40,NA,NA,director40,manager68,source5,NA,SAL
account241,1,9450,28/11/17,28/11/17,practice1,offer54,NA,segment20,director94,manager237,NA,NA,DED
account252,0,350000,30/11/17,13/3/18,practice4,offer43,sector4,segment19,director113,manager115,NA,NA,DHW
account451,1,39425,24/11/17,8/3/18,practice4,offer44,sector5,segment13,director1,manager202,NA,NA,CWE
account237,1,319313.64,26/11/17,10/2/18,practice4,offer43,NA,segment20,director160,manager220,NA,NA,WDE
account235,0,275000,2/12/17,29/5/18,practice4,offer43,NA,segment20,director74,manager273,NA,NA,QDE
account245,1,136363.7,13/3/18,18/3/18,practice4,offer46,NA,segment19,director1,manager216,NA,NA,HSN
account35,1,55200,13/3/18,25/5/18,practice1,offer13,sector5,NA,director117,manager145,NA,NA,AAF
account456,1,52500,16/3/18,8/6/18,practice3,offer40,NA,segment19,director105,manager84,source8,NA,LCQ
account260,0,80000,16/3/18,22/8/18,practice3,offer41,sector1,segment14,director126,manager224,NA,NA,DEM
account292,1,60825,15/3/18,23/11/18,practice4,offer44,sector4,segment19,director113,manager215,source3,Sole sourced,DVA
account205,1,179250,15/3/18,21/4/18,practice4,offer44,NA,segment28,director26,manager187,NA,NA,CTS
account316,1,15650,15/3/18,22/3/18,practice1,offer53,sector7,segment15,director93,manager253,NA,NA,EST
account263,0,90000,20/12/16,22/2/17,practice1,offer9,sector7,segment28,director83,manager23,source2,NA,DJQ
account788,1,4500,17/4/18,8/5/18,practice1,offer56,NA,segment8,director22,NA,source2,NA,WAN
account464,1,160000,12/9/17,26/9/17,practice1,offer56,NA,segment25,director51,manager303,NA,NA,MUN
account743,1,233000,12/9/17,16/10/17,practice1,offer56,NA,segment25,director51,manager68,NA,NA,UNS
account399,0,220000,12/9/17,24/10/17,practice4,offer44,sector1,NA,director26,manager275,NA,NA,IBC
account623,1,150000,12/9/17,11/10/17,practice1,offer43,NA,NA,director74,manager313,NA,NA,RUN
account721,1,252900,12/9/17,12/10/17,practice1,offer11,NA,segment19,director83,manager296,source2,NA,TAC
account252,1,95611.99,12/9/17,24/11/17,practice4,offer43,NA,segment19,director160,manager115,NA,NA,DHW
account581,0,100000,1/8/17,9/11/17,practice1,offer54,NA,segment32,director169,manager252,source2,NA,PYA
account267,1,14580,30/8/16,2/9/16,practice4,offer44,sector8,segment17,director82,manager84,source2,NA,DNP
account590,1,27000,30/8/16,2/9/16,practice3,offer35,NA,segment42,director105,manager23,source2,NA,PLQ
account809,0,200000,18/7/17,26/9/17,practice1,offer53,NA,segment26,director78,manager229,source11,NA,WSV
account747,1,3800,18/7/17,18/7/17,practice1,offer53,NA,segment25,director115,manager209,source2,NA,USA
account231,0,28000,18/7/17,1/8/17,practice1,offer56,NA,segment19,director160,manager115,source2,NA,DHG
account548,1,13050,17/5/18,25/5/18,practice4,offer46,NA,segment19,director67,manager128,NA,NA,DOH
account251,1,192600,1/3/16,7/3/16,practice4,offer44,sector4,segment19,director51,manager97,source2,NA,DHA
account652,0,50000,1/3/16,27/6/16,practice2,offer21,sector8,segment43,director111,manager173,source2,NA,SQW
account285,0,100000,31/8/16,8/10/16,practice4,offer51,sector1,segment45,director26,manager97,source2,NA,PMC
account258,0,457820,31/8/16,9/12/16,practice1,offer51,sector1,segment14,director154,manager313,source11,NA,DIT
account226,1,33250,31/8/16,22/9/16,practice3,offer36,sector5,segment23,director7,manager23,source2,NA,DAP
account673,0,100000,31/8/16,23/9/16,practice1,offer10,sector4,segment1,director160,manager49,source2,NA,SJG
account216,1,8900,17/6/17,5/7/17,practice4,offer50,sector8,segment17,director26,manager320,source2,NA,DFV
account543,1,49350,17/6/17,27/6/17,practice4,offer50,sector1,segment14,director115,manager203,source2,NA,IIN
account784,1,60000,15/8/17,15/8/17,practice1,offer56,NA,segment13,director83,manager164,NA,NA,VSA
account743,1,9200,15/8/17,15/8/17,practice1,offer54,NA,segment25,director81,manager165,NA,NA,UNS
account237,1,72540,16/8/17,7/9/17,practice4,offer50,NA,segment20,director26,manager49,source3,NA,WDE
account370,0,150000,16/8/17,11/9/17,practice1,offer54,NA,NA,director134,manager193,source2,NA,GEL
account278,1,4200,23/6/17,23/6/17,practice1,offer10,sector8,segment37,director147,manager76,source2,NA,DIN
account244,1,13800,23/6/17,15/8/17,practice4,offer50,sector8,segment17,director26,manager227,source2,NA,DSE
account434,1,45454.55,23/6/17,28/7/17,practice1,offer10,NA,segment25,director81,manager178,source2,NA,LTU
account253,0,100000,13/6/17,12/7/17,practice1,offer8,NA,segment19,director122,manager139,source2,NA,DHV
account751,1,65530,31/8/16,25/10/16,practice1,offer10,sector2,segment25,director115,manager273,source2,NA,UTS
account282,0,190000,23/12/16,2/2/17,practice4,offer51,sector8,segment17,director82,manager216,source2,NA,DWR
account468,1,1,7/8/17,19/1/18,practice1,offer54,NA,segment3,director134,manager229,source2,NA,MHT
account90,0,40000,7/8/17,10/11/17,practice1,offer11,NA,NA,director83,manager164,NA,NA,SPP
account171,1,39600,7/8/17,7/8/17,practice3,offer41,NA,NA,director14,manager255,source2,NA,CHP
account251,0,750000,21/9/16,18/1/17,practice4,offer51,sector4,segment19,director1,manager97,source2,NA,DHA
account630,0,120000,10/8/17,29/9/17,practice1,offer56,sector4,segment22,director122,manager283,source2,NA,RCH
account245,1,380150,10/8/17,10/8/17,practice1,offer11,NA,segment19,director78,manager229,source7,NA,HSN
account564,1,475000,10/8/17,10/8/17,practice3,offer40,NA,segment1,director128,manager109,NA,NA,OAC
account455,1,30000,19/8/17,22/8/17,practice1,offer54,NA,NA,director128,manager312,NA,NA,LLS
account173,1,57850,19/8/17,20/9/17,practice3,offer40,sector5,segment8,director141,manager212,source2,NA,CPR
account678,0,50000,13/9/17,6/1/18,practice1,offer54,sector3,segment44,director26,manager283,source2,NA,STR
account774,1,10000,13/9/17,10/10/17,practice3,offer54,NA,segment28,director102,manager212,source2,NA,VLA
account751,1,6600,13/9/17,12/9/17,practice1,offer56,NA,segment25,director115,manager203,NA,NA,UTS
account641,1,11650,13/9/17,12/9/17,practice4,offer44,NA,NA,director154,manager268,source2,NA,SAL
account548,1,28830,19/2/18,19/3/18,practice4,offer44,sector4,segment19,director126,manager42,NA,NA,DOH
account254,1,32784,19/2/18,9/3/18,practice3,offer41,sector5,segment19,director141,manager47,NA,NA,DHS
account774,0,67273,19/2/18,17/4/18,practice4,offer44,NA,segment28,director102,manager275,NA,NA,VLA
account254,0,127273,19/2/18,27/3/18,practice4,offer43,NA,segment19,director131,manager206,NA,NA,DHS
account258,1,77272.73,30/1/18,24/2/18,practice4,offer53,NA,segment14,director5,manager11,NA,NA,DIT
account315,1,180274.6,30/1/18,26/2/18,practice1,offer54,sector7,segment15,director147,manager288,source5,NA,EMV
account254,1,200000,28/2/18,23/3/18,practice4,offer54,NA,segment19,director131,manager121,NA,NA,DHS
account254,0,120000,28/2/18,21/8/18,practice4,offer53,NA,segment19,director141,manager187,NA,NA,DHS
account730,1,80000,28/2/18,21/3/18,practice4,offer44,NA,NA,director115,manager192,source2,NA,UAC
account241,1,2500,8/9/16,8/9/16,practice4,offer44,sector2,segment20,director131,manager179,source2,NA,DED
account482,1,15000,8/9/16,8/9/16,practice1,offer10,sector2,segment25,director52,manager217,source2,NA,NMI
account19,0,100000,8/9/16,18/10/16,practice3,offer34,sector4,segment19,director96,manager205,source2,NA,MAS
account394,1,8900,8/9/16,16/9/16,practice1,offer33,sector3,segment26,director135,manager5,source2,NA,ICR
account205,0,180000,8/9/16,17/11/16,practice4,offer51,sector7,segment28,director26,manager273,source2,NA,CTS
account83,1,NA,9/9/16,24/9/16,practice1,offer8,sector1,segment6,director29,manager81,source2,NA,ANA
account801,1,40000,9/9/16,28/9/16,practice1,offer8,sector3,segment44,director51,manager101,source2,NA,WTH
account253,1,180000,7/9/16,2/1/17,practice1,offer10,sector5,segment19,director91,manager238,source2,NA,DHV
account647,1,4275,7/9/16,8/9/16,practice4,offer50,sector5,NA,director1,manager265,source2,NA,SFN
account273,1,80000,29/1/18,9/2/18,practice3,offer40,NA,segment45,director111,manager45,NA,NA,DPQ
account508,1,2100,29/1/18,30/1/18,practice1,offer54,sector4,segment1,director122,manager15,source2,NA,NAR
account63,1,27000,29/1/18,31/1/18,practice1,offer56,NA,NA,director81,manager186,NA,NA,AED
account245,0,800000,29/1/18,3/7/18,practice1,offer53,NA,segment19,director51,manager66,NA,NA,HSN
account241,0,122700,29/1/18,8/3/18,practice4,offer43,NA,segment20,director26,manager183,NA,NA,DED
account251,1,159625,22/12/17,22/12/17,practice4,offer44,sector4,segment19,director113,manager168,NA,NA,DHA
account626,1,79950,22/12/17,13/3/18,practice4,offer43,NA,segment37,director160,manager285,NA,NA,RTI
account500,1,31818,24/9/16,2/1/17,practice4,offer51,sector6,NA,director83,manager28,source2,NA,MAV
account220,1,15000,24/9/16,28/9/16,practice4,offer50,NA,segment41,director26,manager181,source2,NA,DII
account254,1,52250,22/12/17,5/3/18,practice4,offer44,NA,segment19,director141,manager108,NA,NA,DHS
account272,0,478420,22/12/17,20/2/18,practice3,offer30,NA,segment45,director154,manager239,NA,NA,DPC
account480,1,7000,22/12/17,12/1/18,practice1,offer56,sector6,NA,director34,manager13,source6,NA,MCX
account367,1,99000,22/12/17,22/1/18,practice3,offer58,sector2,segment25,director105,manager141,NA,NA,GRF
account772,1,1000,22/12/17,9/1/18,practice1,offer54,NA,segment21,director169,manager237,NA,NA,VHN
account255,1,59020,22/12/17,22/1/18,practice3,offer33,NA,segment38,director79,manager137,source2,NA,DIM
account269,1,173580,22/12/17,13/1/18,practice1,offer14,sector8,segment17,director115,manager52,NA,NA,NDP
account245,1,266400,22/12/17,2/2/18,practice4,offer43,sector5,segment19,director1,manager208,NA,NA,HSN
account292,0,200000,22/12/17,23/4/18,practice4,offer43,NA,segment19,director112,manager291,NA,NA,DVA
account547,1,12000,23/12/17,10/1/18,practice4,offer44,NA,NA,director126,manager6,NA,NA,HCO
account722,0,85000,7/9/16,18/1/17,practice3,offer34,sector8,segment24,director51,manager303,source2,NA,ITA
account722,1,150000,7/9/16,22/11/16,practice3,offer35,sector8,segment24,director51,manager303,source2,NA,ITA
account427,1,40000,7/9/16,1/1/17,practice1,offer10,sector5,segment8,director169,manager198,source2,NA,KUC
account205,1,75500,3/1/18,14/3/18,practice4,offer42,NA,segment28,director26,manager320,NA,NA,CTS
account322,0,136364,3/1/18,20/2/18,practice4,offer44,NA,segment17,director26,manager275,NA,NA,EPA
account361,1,47100,4/1/18,10/1/18,practice1,offer54,sector8,segment17,director147,manager76,source5,NA,GBR
account740,1,9000,3/1/18,30/1/18,practice1,offer54,sector2,segment25,director2,manager2,source5,NA,UME
account812,1,12234,3/1/18,3/1/18,practice3,offer40,NA,segment19,director130,manager36,source2,NA,WYC
account245,0,3300000,2/1/18,5/2/18,practice3,offer40,NA,segment19,director79,manager203,NA,NA,HSN
account290,0,690000,2/1/18,25/1/18,practice4,offer43,NA,segment14,director26,manager275,NA,NA,FDT
account743,0,100000,5/3/18,16/3/18,practice1,offer53,NA,segment25,director143,manager297,NA,NA,UNS
account257,0,250000,5/3/18,23/4/18,practice4,offer44,NA,segment19,director70,manager313,NA,NA,HSF
account295,1,187700,17/2/18,7/3/18,practice1,offer12,NA,NA,director83,manager211,source2,NA,DPK
account264,1,60600,3/3/18,19/3/18,practice4,offer43,NA,segment28,director26,manager193,NA,NA,DJU
account588,1,3800,1/3/18,5/3/18,practice1,offer56,NA,NA,director117,manager31,NA,NA,PYC
account740,0,80000,16/2/18,9/3/18,practice3,offer31,sector2,segment25,director81,manager297,NA,NA,UME
account78,1,59700,16/2/18,21/3/18,practice4,offer41,sector2,segment34,director153,manager24,NA,NA,TSL
account87,0,100000,2/3/18,30/8/18,practice1,offer58,sector3,segment19,director135,manager75,source5,Sole sourced,APR
account493,1,45000,2/3/18,17/5/18,practice1,offer54,NA,NA,director143,manager305,NA,NA,MNS
account398,1,31800,5/3/18,15/3/18,practice1,offer54,NA,segment24,director94,manager198,NA,NA,INO
account264,1,259090.9,5/3/18,11/5/18,practice4,offer37,NA,segment28,director131,manager2,NA,NA,DJU
account87,0,250000,2/3/18,29/5/18,practice1,offer54,NA,segment19,director128,manager273,NA,NA,APR
account623,1,90850,2/3/18,29/3/18,practice1,offer56,sector2,NA,director70,manager143,NA,NA,RUN
account536,1,18150,2/3/18,15/3/18,practice1,offer54,NA,NA,director60,manager115,NA,NA,NMS
account713,0,65000,1/3/18,23/4/18,practice4,offer43,sector4,segment23,director49,manager167,source2,NA,THI
account64,1,45454.5,1/3/18,26/4/18,practice4,offer44,sector2,segment34,director152,manager281,NA,NA,ACP
account278,1,200000,13/3/18,5/4/18,practice1,offer54,NA,segment37,director147,manager275,NA,NA,DIN
account316,1,179090.91,11/5/18,8/6/18,practice3,offer40,sector7,segment15,director26,manager320,NA,NA,EST
account434,1,7500,9/8/17,8/8/17,practice1,offer54,NA,segment25,director169,manager237,source2,NA,LTU
account130,0,50000,9/8/17,4/10/17,practice1,offer56,NA,segment19,director117,manager35,NA,NA,BCC
account208,1,192400,8/7/17,14/7/17,practice1,offer8,NA,segment19,director150,manager227,source2,NA,CPA
account338,0,75000,24/5/17,8/7/17,practice3,offer22,sector3,segment40,director162,manager173,source2,NA,FSR
account550,0,50000,24/5/17,1/11/17,practice3,offer34,NA,segment5,director162,manager176,source2,NA,PSN
account84,1,57350,24/5/17,1/6/17,practice1,offer8,sector2,segment25,director70,manager178,source2,NA,ANU
account253,1,84250,24/5/17,10/6/17,practice1,offer10,sector4,segment19,director91,manager283,source2,NA,DHV
account336,1,30000,10/5/18,17/5/18,practice1,offer56,NA,NA,director169,manager195,NA,NA,FTN
account289,1,22700,10/5/18,7/6/18,practice3,offer31,sector6,segment24,director73,manager45,NA,Sole sourced,DMR
account289,1,106800,10/5/18,21/9/18,practice3,offer40,sector6,segment24,director105,manager140,NA,Sole sourced,DMR
account61,1,12000,24/5/17,26/5/17,practice1,offer10,sector4,segment19,director121,manager195,source2,NA,ACQ
account269,1,40000,11/5/18,5/6/18,practice1,offer53,NA,segment17,director135,manager75,source8,Sole sourced,NDP
account804,0,9800,7/7/17,28/11/18,practice1,offer10,NA,segment16,director94,manager198,source2,NA,WIE
account455,1,22800,6/7/17,3/7/17,practice3,offer33,sector8,NA,director128,manager312,source2,NA,LLS
account403,0,35000,6/7/17,8/8/17,practice3,offer33,NA,segment24,director51,manager250,source2,NA,IRA
account688,1,47500,6/7/17,28/7/17,practice4,offer44,NA,segment28,director39,manager73,source2,NA,SCV
account514,1,4700,6/7/17,6/7/17,practice2,offer25,NA,segment13,director141,manager179,source2,NA,NDI
account718,1,25000,6/7/17,11/7/17,practice1,offer9,NA,NA,director117,manager35,source2,NA,TNA
account618,1,6150,24/11/16,24/11/16,practice1,offer4,sector3,segment26,director169,manager157,source2,NA,RCV
account96,0,150000,24/11/16,19/12/16,practice1,offer10,sector3,segment36,director78,manager275,source2,NA,AUN
account419,1,15000,24/11/16,13/12/16,practice1,offer10,sector5,segment16,director169,manager307,source2,NA,JAL
account409,1,40785,15/3/17,18/8/17,practice4,offer44,sector1,segment5,director160,manager220,source2,NA,IPW
account721,1,68000,15/3/17,24/4/17,practice3,offer35,sector3,segment19,director112,manager239,source2,NA,TAC
account721,1,102000,15/3/17,24/4/17,practice2,offer24,sector3,segment19,director112,manager239,source2,NA,TAC
account496,1,72727,15/3/17,6/5/17,practice3,offer34,sector2,segment25,director52,manager288,source2,NA,MSH
account812,1,22962.5,15/3/17,15/3/17,practice3,offer34,sector6,segment19,director130,manager256,source2,NA,WYC
account318,1,39600,15/3/17,30/3/17,practice1,offer8,sector5,segment16,director117,manager154,source2,NA,EMP
account279,1,68200,23/5/17,25/5/17,practice4,offer44,sector5,segment19,director1,manager95,source2,NA,DFC
account596,1,76200,23/5/17,23/6/17,practice1,offer8,sector1,segment5,director22,manager14,source2,NA,PSC
account560,0,50000,23/5/17,11/10/17,practice4,offer51,sector1,segment6,director26,manager73,source2,NA,AIC
account571,0,120000,23/5/17,17/6/17,practice4,offer51,sector4,NA,director131,manager26,source2,NA,PCN
account604,0,1800000,1/3/16,19/5/16,practice2,offer23,sector3,segment40,director112,manager173,source2,NA,QSU
account333,1,18600,2/2/17,15/2/17,practice4,offer44,sector5,NA,director131,manager17,source2,NA,FML
account548,1,6250,2/2/17,7/2/17,practice4,offer44,sector4,segment19,director85,manager170,source2,NA,DOH
account530,1,46585,2/2/17,31/7/17,practice1,offer10,sector5,NA,director169,manager63,source2,NA,NHZ
account76,0,100000,9/9/17,11/10/17,practice4,offer43,NA,NA,director26,manager198,NA,NA,HRA
account390,1,64400,16/5/18,29/8/18,practice4,offer44,sector5,NA,director131,manager187,source5,Sole sourced,HAU
account657,1,3636.36,11/5/18,16/5/18,practice1,offer56,NA,NA,director99,manager64,NA,NA,SRA
account14,1,25000,7/12/18,12/12/18,practice3,offer30,sector6,segment18,director23,manager4,source5,Sole sourced,ALD
account751,0,588150,18/10/18,21/11/18,practice1,offer54,NA,segment25,director83,manager197,source11,Competitive,UTS
account272,1,0,22/6/16,1/7/16,practice4,offer44,sector1,segment45,director154,manager43,source2,Competitive,DPC
account9,1,100000,22/6/16,28/7/16,practice4,offer51,sector7,segment28,director26,manager56,source2,NA,AAT
account272,1,64854.54,11/6/16,29/6/16,practice4,offer44,sector1,segment45,director26,manager174,source2,NA,DPC
account548,1,16850,15/6/16,18/6/16,practice4,offer51,sector4,segment19,director85,manager203,source2,NA,DOH
account259,1,123000,6/12/18,18/12/18,practice4,offer44,NA,segment24,director126,manager230,NA,NA,DTR
account792,1,30000,6/12/18,17/12/18,practice4,offer56,NA,segment31,director131,manager257,source2,Sole sourced,MIF
account281,1,21800,16/12/16,12/1/17,practice2,offer20,sector8,segment24,director111,manager173,source2,NA,DSI
account205,1,136200,1/6/18,12/6/18,practice1,offer44,NA,segment28,director138,manager214,source3,NA,CTS
